emp_no,birth_date,first_name,last_name,gender,hire_date
1,1977-06-14,Jenny,Lawrence,F,2021-12-24
2,2018-05-19,Angel,Aguirre,M,1971-05-24
3,2014-08-20,Elizabeth,Baker,F,2001-03-01
4,1970-05-11,Joseph,Villanueva,M,1974-08-16
5,1972-01-10,Sherry,Warner,F,1973-09-25
6,1993-03-25,Brendan,Miller,M,2001-06-21
7,2018-07-16,Carrie,Oconnor,F,2014-01-08
8,2021-11-19,Hannah,Hale,F,1985-05-13
9,1995-10-22,April,Rodriguez,F,1985-11-04
10,1976-07-02,Samuel,Dean,M,1979-01-14
11,1979-10-26,Sean,Burgess,M,1998-05-14
